date,Close,ticker_year,ticker
2012-07-02,,AAPL-2012,AAPL
2012-07-03,,AAPL-2012,AAPL
2012-07-05,,AAPL-2012,AAPL
2012-07-06,,AAPL-2012,AAPL
2012-07-09,,AAPL-2012,AAPL
2012-07-10,,AAPL-2012,AAPL
2012-07-11,0.4662193154369836,AAPL-2012,AAPL
2012-07-12,0.42311134442248566,AAPL-2012,AAPL
2012-07-13,0.6074504748572687,AAPL-2012,AAPL
2012-07-16,-1.4281645613746106,AAPL-2012,AAPL
2012-07-17,-1.1968227629556392,AAPL-2012,AAPL
2012-07-18,0.21619163098375188,AAPL-2012,AAPL
2012-07-19,0.5221439037110256,AAPL-2012,AAPL
2012-07-20,0.5897507218928415,AAPL-2012,AAPL
2012-07-23,1.1345484491655644,AAPL-2012,AAPL
2012-07-24,1.39379049462011,AAPL-2012,AAPL
2012-07-25,2.9595628431049614,AAPL-2012,AAPL
2012-07-26,0.9340514794686026,AAPL-2012,AAPL
2012-07-27,-1.1579056845630193,AAPL-2012,AAPL
2012-07-30,-1.1414719889108458,AAPL-2012,AAPL
2012-07-31,-1.8525495251427322,AAPL-2012,AAPL
2012-08-01,-1.848581228041282,AAPL-2012,AAPL
2012-08-02,-1.932947762955644,AAPL-2012,AAPL
2012-08-03,-0.2681417023495836,AAPL-2012,AAPL
2012-08-06,0.8394772370443595,AAPL-2012,AAPL
2012-08-07,-0.4549992781071626,AAPL-2012,AAPL
2012-08-08,-0.43686821750109633,AAPL-2012,AAPL
2012-08-09,-0.11700117204654897,AAPL-2012,AAPL
2012-08-10,0.790937843104963,AAPL-2012,AAPL
2012-08-13,0.46550981280193565,AAPL-2012,AAPL
2012-08-14,-0.15178068456301855,AAPL-2012,AAPL
2012-08-15,0.7663613444224868,AAPL-2012,AAPL
2012-08-16,-0.396341191809396,AAPL-2012,AAPL
2012-08-17,-0.8948312280412827,AAPL-2012,AAPL
2012-08-20,0.378218903711021,AAPL-2012,AAPL
2012-08-21,-0.1844333690162568,AAPL-2012,AAPL
2012-08-22,0.174081403711021,AAPL-2012,AAPL
2012-08-23,0.045542388559511385,AAPL-2012,AAPL
2012-08-24,0.0948817824989025,AAPL-2012,AAPL
2012-08-27,-0.17837617204655426,AAPL-2012,AAPL
2012-08-28,0.10847950977163354,AAPL-2012,AAPL
2012-08-29,-0.28036518719806597,AAPL-2012,AAPL
2012-08-30,0.1606776487703063,AAPL-2012,AAPL
2012-08-31,-0.901763655577513,AAPL-2012,AAPL
2012-09-04,-1.234424525142733,AAPL-2012,AAPL
2012-09-05,-0.3225812280412859,AAPL-2012,AAPL
2012-09-06,0.013218903711026131,AAPL-2012,AAPL
2012-09-07,-0.09605836901624693,AAPL-2012,AAPL
2012-09-10,-0.5622519296223099,AAPL-2012,AAPL
2012-09-11,-0.5904159447738233,AAPL-2012,AAPL
2012-09-12,0.35025678249889974,AAPL-2012,AAPL
2012-09-13,-0.37166783871322134,AAPL-2012,AAPL
2012-09-14,0.6942295097716273,AAPL-2012,AAPL
2012-09-17,-0.11628185386473194,AAPL-2012,AAPL
2012-09-18,0.5230109821036419,AAPL-2012,AAPL
