index,Category: All categories,entity
2004-02-01,,adobe
2004-03-01,,adobe
2004-04-01,,adobe
2004-05-01,,adobe
2004-06-01,,adobe
2004-07-01,,adobe
2004-08-01,2.73616071428572,adobe
2004-09-01,2.161160714285706,adobe
2004-10-01,0.11949404761903373,adobe
2004-11-01,-4.01046626984127,adobe
2004-12-01,-1.3586805555555395,adobe
2005-01-01,5.019295634920645,adobe
2005-02-01,1.8288194444444388,adobe
2005-03-01,-1.2307043650793599,adobe
2005-04-01,1.4954861111111075,adobe
2005-05-01,0.6175099206349319,adobe
2005-06-01,1.057986111111111,adobe
2005-07-01,-0.14439484126985125,adobe
2005-08-01,2.5278273809523912,adobe
2005-09-01,-1.3805059523809515,adobe
2005-10-01,-1.2138392857142664,adobe
2005-11-01,-1.9271329365079275,adobe
2005-12-01,-1.3170138888888965,adobe
2006-01-01,2.2692956349206304,adobe
2006-02-01,2.078819444444439,adobe
2006-03-01,-1.2307043650793599,adobe
2006-04-01,-5.04618055555555,adobe
2006-05-01,-5.2991567460317395,adobe
2006-06-01,-1.483680555555532,adobe
2006-07-01,2.0639384920634916,adobe
2006-08-01,0.23616071428571983,adobe
2006-09-01,0.8694940476190627,adobe
2006-10-01,-2.838839285714281,adobe
2006-11-01,-4.677132936507942,adobe
2006-12-01,-2.025347222222225,adobe
2007-01-01,5.060962301587316,adobe
2007-02-01,4.703819444444453,adobe
2007-03-01,1.5192956349206401,adobe
2007-04-01,0.12048611111110752,adobe
2007-05-01,-2.8824900793650823,adobe
2007-06-01,3.432986111111111,adobe
2007-07-01,3.3139384920634916,adobe
2007-08-01,1.4028273809523912,adobe
2007-09-01,-0.08883928571428013,adobe
2007-10-01,-2.9221726190476236,adobe
2007-11-01,-0.9271329365079417,adobe
2007-12-01,-1.3586805555555537,adobe
2008-01-01,-0.31403769841269824,adobe
2008-02-01,-1.0045138888888756,adobe
2008-03-01,0.18596230158729732,adobe
2008-04-01,-1.212847222222221,adobe
2008-05-01,-2.3824900793650823,adobe
2008-06-01,0.7246527777777683,adobe
2008-07-01,1.105605158730163,adobe
2008-08-01,-0.6388392857142944,adobe
2008-09-01,-0.8388392857142943,adobe
2008-10-01,-0.17217261904760925,adobe
2008-11-01,4.36453373015873,adobe
2008-12-01,0.7246527777777749,adobe
2009-01-01,0.7692956349206446,adobe
2009-02-01,0.9954861111111102,adobe
2009-03-01,1.102628968253983,adobe
2009-04-01,-0.046180555555535456,adobe
2009-05-01,0.5758432539682605,adobe
2009-06-01,-3.483680555555546,adobe
2009-07-01,-1.5193948412698228,adobe
2009-08-01,0.36116071428573404,adobe
2009-09-01,0.7861607142857199,adobe
2009-10-01,-0.17217261904760925,adobe
2009-11-01,0.8645337301587297,adobe
2009-12-01,0.43298611111111773,adobe
2010-01-01,-0.35570436507935543,adobe
2010-02-01,0.7454861111111386,adobe
2010-03-01,1.727628968253983,adobe
2010-04-01,6.412152777777793,adobe
2010-05-01,0.8258432539682605,adobe
2010-06-01,4.682986111111097,adobe
2010-07-01,-5.10272817460318,adobe
2010-08-01,-1.9721726190476088,adobe
2010-09-01,2.5361607142857343,adobe
2010-10-01,-0.8388392857142807,adobe
2010-11-01,0.6978670634920725,adobe
2010-12-01,-1.442013888888868,adobe
2011-01-01,-4.23070436507937,adobe
2011-02-01,-0.9211805555555612,adobe
2011-03-01,2.64429563492064,adobe
2011-04-01,-1.087847222222221,adobe
2011-05-01,2.4508432539682463,adobe
2011-06-01,1.9746527777777967,adobe
2011-07-01,-3.644394841269837,adobe
2011-08-01,-0.055505952380965784,adobe
2011-09-01,-2.58883928571428,adobe
2011-10-01,-0.3805059523809521,adobe
2011-11-01,0.6978670634920725,adobe
2011-12-01,5.307986111111118,adobe
2012-01-01,0.9359623015873018,adobe
2012-02-01,-3.2128472222222184,adobe
2012-03-01,-1.2723710317460455,adobe
2012-04-01,-2.5045138888888925,adobe
2012-05-01,-1.0074900793650823,adobe
2012-06-01,0.8913194444444255,adobe
2012-07-01,2.730605158730163,adobe
2012-08-01,1.8611607142857056,adobe
2012-09-01,0.4111607142857199,adobe
2012-10-01,-4.047172619047609,adobe
2012-11-01,-2.593799603174599,adobe
2012-12-01,-2.3586805555555537,adobe
2013-01-01,1.6026289682539732,adobe
2013-02-01,3.99548611111111,adobe
2013-03-01,3.3526289682539687,adobe
2013-04-01,0.9538194444444503,adobe
2013-05-01,2.8258432539682605,adobe
2013-06-01,-2.8170138888888747,adobe
2013-07-01,-2.1860615079365013,adobe
2013-08-01,-3.513839285714273,adobe
2013-09-01,-2.005505952380944,adobe
2013-10-01,2.2028273809523835,adobe
2013-11-01,2.156200396825401,adobe
2013-12-01,-0.40034722222221797,adobe
2014-01-01,2.227628968253973,adobe
2014-02-01,1.0788194444444459,adobe
2014-03-01,-4.1890376984126885,adobe
2014-04-01,0.16215277777778603,adobe
2014-05-01,-0.7574900793650681,adobe
2014-06-01,-2.483680555555539,adobe
2014-07-01,-1.1027281746031656,adobe
2014-08-01,-0.47217261904761587,adobe
2014-09-01,1.4944940476190485,adobe
2014-10-01,5.119494047619048,adobe
2014-11-01,-0.2187996031745989,adobe
2014-12-01,3.8913194444444534,adobe
2015-01-01,-1.1473710317460268,adobe
2015-02-01,-4.796180555555554,adobe
2015-03-01,-2.7723710317460313,adobe
2015-04-01,-0.7961805555555568,adobe
2015-05-01,-1.3824900793650752,adobe
2015-06-01,-0.6920138888888818,adobe
2015-07-01,12.605605158730164,adobe
2015-08-01,1.8194940476190484,adobe
2015-09-01,0.36949404761904847,adobe
