index,Category: All categories,entity
2006-07,32.0,blizzard
2006-08,27.0,blizzard
2006-09,24.0,blizzard
2006-10,28.0,blizzard
2006-11,25.0,blizzard
2006-12,38.0,blizzard
2007-01,37.0,blizzard
2007-02,32.0,blizzard
2007-03,27.0,blizzard
2007-04,27.0,blizzard
2007-05,45.0,blizzard
2007-06,32.0,blizzard
2007-07,28.0,blizzard
2007-08,31.0,blizzard
2007-09,26.0,blizzard
2007-10,23.0,blizzard
2007-11,25.0,blizzard
2007-12,36.0,blizzard
2008-01,30.0,blizzard
2008-02,30.0,blizzard
2008-03,31.0,blizzard
2008-04,28.0,blizzard
2008-05,28.0,blizzard
2008-06,44.0,blizzard
2008-07,45.0,blizzard
2008-08,35.0,blizzard
2008-09,32.0,blizzard
2008-10,35.0,blizzard
2008-11,39.0,blizzard
2008-12,42.0,blizzard
2009-01,37.0,blizzard
2009-02,32.0,blizzard
2009-03,36.0,blizzard
2009-04,37.0,blizzard
2009-05,33.0,blizzard
2009-06,36.0,blizzard
2009-07,35.0,blizzard
2009-08,39.0,blizzard
2009-09,28.0,blizzard
2009-10,27.0,blizzard
2009-11,29.0,blizzard
2009-12,51.0,blizzard
2010-01,36.0,blizzard
2010-02,54.0,blizzard
2010-03,33.0,blizzard
2010-04,45.0,blizzard
2010-05,36.0,blizzard
2010-06,37.0,blizzard
2010-07,48.0,blizzard
2010-08,43.0,blizzard
2010-09,32.0,blizzard
2010-10,39.0,blizzard
2010-11,41.0,blizzard
2010-12,71.0,blizzard
2011-01,52.0,blizzard
2011-02,74.0,blizzard
2011-03,36.0,blizzard
2011-04,35.0,blizzard
2011-05,35.0,blizzard
2011-06,36.0,blizzard
2011-07,39.0,blizzard
2011-08,37.0,blizzard
2011-09,31.0,blizzard
2011-10,35.0,blizzard
2011-11,32.0,blizzard
2011-12,35.0,blizzard
2012-01,32.0,blizzard
2012-02,34.0,blizzard
2012-03,38.0,blizzard
2012-04,38.0,blizzard
2012-05,58.0,blizzard
2012-06,41.0,blizzard
2012-07,35.0,blizzard
2012-08,34.0,blizzard
2012-09,33.0,blizzard
2012-10,30.0,blizzard
2012-11,28.0,blizzard
2012-12,43.0,blizzard
2013-01,31.0,blizzard
2013-02,92.0,blizzard
2013-03,42.0,blizzard
2013-04,30.0,blizzard
2013-05,28.0,blizzard
2013-06,31.0,blizzard
2013-07,29.0,blizzard
2013-08,30.0,blizzard
2013-09,29.0,blizzard
2013-10,32.0,blizzard
2013-11,38.0,blizzard
2013-12,34.0,blizzard
2014-01,54.0,blizzard
2014-02,41.0,blizzard
2014-03,36.0,blizzard
2014-04,32.0,blizzard
2014-05,28.0,blizzard
2014-06,28.0,blizzard
2014-07,29.0,blizzard
2014-08,33.0,blizzard
2014-09,29.0,blizzard
2014-10,31.0,blizzard
2014-11,51.0,blizzard
2014-12,35.0,blizzard
2015-01,100.0,blizzard
2015-02,46.0,blizzard
2015-03,33.0,blizzard
2015-04,31.0,blizzard
2015-05,35.0,blizzard
2015-06,34.0,blizzard
2015-07,32.0,blizzard
2015-08,33.0,blizzard
2015-09,25.0,blizzard
2015-10,25.0,blizzard
2015-11,38.0,blizzard
2015-12,32.0,blizzard
2016-01,90.0,blizzard
2016-02,35.0,blizzard
2016-03,33.0,blizzard
2016-04,33.0,blizzard
2016-05,38.0,blizzard
2016-06,36.0,blizzard
2016-07,32.0,blizzard
2016-08,34.0,blizzard
2016-09,28.0,blizzard
2016-10,25.0,blizzard
2016-11,34.0,blizzard
2016-12,39.0,blizzard
2017-01,36.0,blizzard
2017-02,36.0,blizzard
2017-03,56.0,blizzard
2017-04,41.0,blizzard
2017-05,37.0,blizzard
2017-06,34.0,blizzard
2017-07,36.0,blizzard
2017-08,38.0,blizzard
2017-09,31.0,blizzard
2017-10,29.0,blizzard
2017-11,39.0,blizzard
2017-12,37.0,blizzard
2018-01,55.0,blizzard
2018-02,33.0,blizzard
2018-03,38.0,blizzard
2018-04,35.0,blizzard
2018-05,33.0,blizzard
2018-06,31.0,blizzard
2018-07,38.0,blizzard
2018-08,36.0,blizzard
2018-09,31.0,blizzard
2018-10,30.0,blizzard
2018-11,50.0,blizzard
2018-12,33.0,blizzard
2019-01,44.0,blizzard
2019-02,36.0,blizzard
2019-03,42.0,blizzard
2019-04,31.0,blizzard
2004-02,7.0,google
2004-03,8.0,google
2004-04,10.0,google
2004-05,9.0,google
2004-06,9.0,google
2004-07,8.0,google
2004-08,9.0,google
2004-09,9.0,google
2004-10,9.0,google
2004-11,9.0,google
2004-12,10.0,google
2005-01,10.0,google
2005-02,10.0,google
2005-03,11.0,google
2005-04,15.0,google
2005-05,14.0,google
2005-06,14.0,google
2005-07,19.0,google
2005-08,21.0,google
2005-09,24.0,google
2005-10,22.0,google
2005-11,21.0,google
2005-12,21.0,google
2006-01,24.0,google
2006-02,24.0,google
2006-03,24.0,google
2006-04,24.0,google
2006-05,23.0,google
2006-06,22.0,google
2006-07,21.0,google
2006-08,20.0,google
2006-09,21.0,google
2006-10,23.0,google
2006-11,22.0,google
2006-12,23.0,google
2007-01,24.0,google
2007-02,25.0,google
2007-03,24.0,google
2007-04,25.0,google
2007-05,27.0,google
2007-06,28.0,google
2007-07,28.0,google
2007-08,28.0,google
2007-09,29.0,google
2007-10,29.0,google
2007-11,30.0,google
2007-12,28.0,google
2008-01,29.0,google
2008-02,31.0,google
2008-03,31.0,google
2008-04,32.0,google
2008-05,33.0,google
2008-06,30.0,google
2008-07,30.0,google
2008-08,31.0,google
2008-09,39.0,google
2008-10,35.0,google
2008-11,36.0,google
2008-12,35.0,google
2009-01,35.0,google
2009-02,39.0,google
2009-03,39.0,google
2009-04,39.0,google
2009-05,39.0,google
